Date,Open,High,Low,Close,Adj Close,Inflation
1928-01-01,17.760000,17.760000,17.260000,17.570000,17.570000,-1.14
1928-02-01,17.530001,17.629999,16.950001,17.260000,17.260000,-1.72
1928-03-01,17.299999,19.280001,17.299999,19.280001,19.280001,-1.16
1928-04-01,18.910000,19.750000,18.910000,19.750000,19.750000,-1.16
1928-05-01,19.780001,20.440001,19.360001,20.000000,20.000000,-1.15
1928-06-01,20.070000,20.070000,18.340000,19.139999,19.139999,-2.84
1928-07-01,18.980000,19.480000,18.700001,19.430000,19.430000,-1.16
1928-08-01,19.420000,20.870001,19.129999,20.870001,20.870001,-0.58
1928-09-01,20.969999,21.430000,20.920000,21.139999,21.139999,0.00
1928-10-01,21.360001,22.000000,21.110001,21.680000,21.680000,-1.15
1928-11-01,21.990000,24.280001,21.950001,24.280001,24.280001,-0.58
1928-12-01,23.850000,24.350000,22.309999,24.350000,24.350000,-1.16
1929-01-01,24.809999,25.740000,24.170000,25.740000,25.740000,-1.16
1929-02-01,25.840000,25.840000,24.350000,25.590000,25.590000,0.00
1929-03-01,25.830000,26.080000,24.350000,25.530001,25.530001,-0.58
1929-04-01,24.879999,25.940001,24.629999,25.940001,25.940001,-1.17
1929-05-01,25.990000,26.370001,24.200001,24.830000,24.830000,-1.16
1929-06-01,25.270000,27.410000,25.270000,27.410000,27.410000,0.00
1929-07-01,27.770000,28.879999,27.770000,28.879999,28.879999,1.17
1929-08-01,29.080000,31.709999,28.379999,31.709999,31.709999,1.17
1929-09-01,31.820000,31.860001,30.160000,30.160000,30.160000,0.00
1929-10-01,29.980000,30.809999,20.430000,24.150000,24.150000,0.58
1929-11-01,22.879999,22.879999,17.660000,20.920000,20.920000,0.58
1929-12-01,20.950001,22.570000,20.160000,21.450001,21.450001,0.58
1930-01-01,21.180000,22.790001,21.180000,22.790001,22.790001,0.00
1930-02-01,22.740000,23.360001,22.639999,23.280001,23.280001,-0.58
1930-03-01,23.360001,24.850000,23.360001,24.150000,24.150000,-0.59
1930-04-01,25.370001,25.920000,24.730000,24.900000,24.900000,0.59
1930-05-01,24.299999,24.570000,22.980000,24.490000,24.490000,-0.59
1930-06-01,24.400000,24.400000,19.389999,20.459999,20.459999,-1.75
1930-07-01,20.240000,21.820000,19.830000,21.209999,21.209999,-4.05
